ID	IUPAC_solid	SMILES_solid	IUPAC_anion	SMILES_anion	IUPAC_cation	SMILES_cation	Mole_fraction	Weight_fraction	Parts of Solvent	Temperature.K	logP_anion	Atom count_anion	Molecular weight_anion	molecular_anion	Aliphatic atom count_anion	Aromatic atom count_anion	Van der Waals surface area (3D)_anion	ASA_anion	donorcount_anion	acceptorcount_anion	Refractivity_anion	Bond count_anion	Smallest ring size_anion	Balaban index_anion	Rotatable bond count_anion	MMFF94 energy_anion	Fused ring count_anion	logP_cation	Atom count_cation	Molecular weight_cation	molecular_cation	Aliphatic atom count_cation	Aromatic atom count_cation	Van der Waals surface area (3D)_cation	ASA_cation	donorcount_cation	acceptorcount_cation	Refractivity_cation	Bond count_cation	Smallest ring size_cation	Balaban index_cation	Rotatable bond count_cation	MMFF94 energy_cation	Fused ring count_cation	logP_solid	Atom count_solid	Molecular weight_solid	molecular_solid	Aliphatic atom count_solid	Aromatic atom count_solid	Van der Waals surface area (3D)_solid	ASA_solid	donorcount_solid	acceptorcount_solid	Refractivity_solid	Bond count_solid	Smallest ring size_solid	Rotatable bond count_solid	Fused ring count_solid
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.62993662898104	0.526937851114184	0.897757008507833	353.4	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.50292585521201	0.398340244921119	1.51041669213721	343.35	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.395006178885713	0.299347705155433	2.34059684700359	333.3	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.329894919011427	0.243654050525779	3.10417966720483	323.25	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.253692303436205	0.181962885045876	4.495626208322	313.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.282933076482031	0.177063667998001	4.64768600643295	353.4	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.226712793112604	0.160966324829783	5.21247954227364	353.4	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K	D-fructose	[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.190937521759236	0.133771106955221	6.47545581972902	303.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.27	24	180.156	16.12	12	0	252.72	289.48	5	6	37.56	23	0	5	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.192857319324626	0.115274570234847	7.67494017078282	343.35	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.166888420148628	0.09847786308194	9.15456640410578	333.3	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
