ID,Classification,Temperature.K,logP_anion,Atom count_anion,Molecular weight_anion,molecular_anion,Aliphatic atom count_anion,Aromatic atom count_anion,Van der Waals surface area (3D)_anion,ASA_anion,donorcount_anion,acceptorcount_anion,Refractivity_anion,Bond count_anion,Smallest ring size_anion,Balaban index_anion,Rotatable bond count_anion,MMFF94 energy_anion,logP_cation,Atom count_cation,Molecular weight_cation,molecular_cation,Aliphatic atom count_cation,Aromatic atom count_cation,Van der Waals surface area (3D)_cation,ASA_cation,donorcount_cation,acceptorcount_cation,Refractivity_cation,Bond count_cation,Smallest ring size_cation,Balaban index_cation,Rotatable bond count_cation,MMFF94 energy_cation,logP_solid,Atom count_solid,Molecular weight_solid,molecular_solid,Aliphatic atom count_solid,Aromatic atom count_solid,Van der Waals surface area (3D)_solid,ASA_solid,donorcount_solid,acceptorcount_solid,Refractivity_solid,Bond count_solid,Smallest ring size_solid,Rotatable bond count_solid,Fused ring count_solid,class
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K,Soluble,353.4,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K,Soluble,343.35,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K,Soluble,333.3,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K,Soluble,323.25,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K,Soluble,313.2,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K,Soluble,353.4,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
D-fructose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K,Soluble,303.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-3.27,24,180.156,16.12,12,0,252.72,289.48,5,6,37.56,23,0,5,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K,Soluble,343.35,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K,Soluble,333.3,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K,Soluble,323.25,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K,Soluble,313.2,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K,Moderate Soluble,303.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,1
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.15K,Soluble,353.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.15K,Soluble,343.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_334.2K,Soluble,334.2,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.8K,Moderate Soluble,323.8,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,1
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.15K,Moderate Soluble,313.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,1
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_302.15K,Moderate Soluble,302.15,-0.46,9,111.09,8.11,6,0,145.96,289.88,0,3,17.13,8,0,3.17,1,16.73,-6.04,29,164.224,18.29,11,0,306.84,326.19,3,3,54.78,28,0,3.79,6,112.51,-4.7,45,342.297,31.45,23,0,448.22,407.75,8,11,68.34,46,6,4,0,1
